id;code;city_id
828;4070;219
829;4099;219
830;4033;219
831;4024;219
832;4030;220
833;4095;220
834;4032;220
835;4034;220
836;4035;220
837;4012;221
838;4060;222
839;4063;222
840;4062;222
841;4004;223
842;3200;224
843;3211;224
844;3215;224
845;3221;224
846;3222;224
847;3232;224
848;3242;224
849;3252;224
850;3264;224
851;3274;224
852;3284;224
853;3293;224
854;3212;225
855;3253;226
856;3220;227
857;3261;227
858;3271;227
859;3224;227
860;3235;227
861;3241;227
862;3251;227
863;3214;228
864;3217;228
865;3233;228
866;3243;228
867;3263;228
868;3272;228
869;3282;228
870;3245;229
871;3286;229
872;3240;229
873;3244;229
874;3213;230
875;3223;230
876;3225;230
877;3262;230
878;2214;231
879;2224;231
880;2260;231
881;2261;231
882;2263;231
883;2262;231
884;2233;232
885;2210;232
886;2200;232
887;2213;232
888;2239;232
889;2241;232
890;2243;232
891;2223;233
892;2240;234
893;2245;234
894;2211;235
895;2212;235
896;2253;235
897;1082;236
898;1013;236
899;1002;236
900;1004;236
901;2092;236
902;2052;237
903;2087;237
904;2051;237
905;1074;238
906;2053;238
907;2066;238
908;2015;239
909;2089;239
910;1006;240
911;1029;240
912;1075;240
913;1054;241
914;2016;241
915;2025;241
916;2026;241
917;2085;241
918;1003;242
919;1000;243
920;1001;243
921;1069;243
922;1073;243
923;2076;244
924;2078;244
925;1053;244
926;1057;244
927;2045;244
928;2046;244
929;2052;245
930;1046;246
931;2023;246
932;1089;247
933;1027;247
934;1008;247
935;1067;248
936;2060;248
937;2000;249
938;2009;249
939;2017;249
940;1005;250
941;1064;251
942;1068;251
943;1091;251
944;2062;251
945;1009;252
946;2042;253
947;1095;254
948;1007;255
949;2072;255
950;1019;256
951;1059;256
952;1154;257
953;1160;257
954;1163;257
955;1140;258
956;1146;258
957;1162;258
958;1194;258
959;1123;259
960;1131;259
961;1141;259
962;1193;259
963;1111;259
964;1100;260
965;1132;260
966;1121;260
967;1155;260
968;1112;261
969;1122;261
970;1152;261
971;1115;262
